ID,Target,Tweet,Stance,Opinion towards,Sentiment,trump_stance
20066,Donald Trump,"If my only impression of the US was Donald Trump, I think I would hate it. #SemST",AGAINST,TARGET,NEGATIVE,Against
20070,Donald Trump,You're combover looks like the cupacabra  Guillermo @jimmykimmel so funny #SemST,AGAINST,TARGET,NEGATIVE,Against
20103,Donald Trump,"@realDonaldTrump You have a real shot at POTUS Mr. T, the debates will be the true litmus test. #SemST",FAVOR,TARGET,POSITIVE,Favor
20105,Donald Trump,@Colin_McManus7 2016 is the first election I can vote in and I am proudly voting for @realDonaldTrump #trumpforpresident #SemST,FAVOR,TARGET,POSITIVE,Favor
20106,Donald Trump,Trump Tower is not on fire. It is The Avery building. The only Trump fire is the one that I hand out when #YoureFired #TrumpRules #SemST,FAVOR,TARGET,POSITIVE,Favor
20111,Donald Trump,I like many entries in the 2016 Presidential race; but no one is more accomplished than Donald Trump. His cabinet will be full. #SemST,FAVOR,TARGET,POSITIVE,Favor
20114,Donald Trump,@realDonaldTrump Go get 'em Mr. Trump!!! #SemST,FAVOR,TARGET,POSITIVE,Favor
20115,Donald Trump,A vote against Trump is a vote against America #SemST,FAVOR,TARGET,NEGATIVE,Favor
20116,Donald Trump,RT @reel_fisherman6: I think Donald would bring this country back to where we used to be #SemST,FAVOR,TARGET,POSITIVE,Favor
20119,Donald Trump,I really hope @realDonaldTrump doesn't combover and shoot me with the pistol he's constantly packing.. #SemST,AGAINST,TARGET,NEGATIVE,Against
20120,Donald Trump,"For the record, as a #Latino, (#Peruvian to be specific), let me state the obvious: #FuckTrump #SemST",AGAINST,TARGET,NEGATIVE,Against
20122,Donald Trump,@realDonaldTrump you're the man for the job #MakeAmericaGreatAgain #SemST,FAVOR,TARGET,POSITIVE,Favor
20127,Donald Trump,@realDonaldTrump we need someone like you who won't back down to ANYONE or ANYTHING #SemST,FAVOR,TARGET,POSITIVE,Favor
20133,Donald Trump,@GeraldoRivera @realDonaldTrump Don't apologize for the truth. People are too sensitive. #MakeAmericaGreatAgain #SemST,FAVOR,TARGET,NEITHER,Favor
20134,Donald Trump,Everybody get on the Trump Train!! It's a First Class One-Way ticket to the White House with @realDonaldTrump  #SemST,FAVOR,TARGET,POSITIVE,Favor
20136,Donald Trump,@ForQ2 I guess @realDonaldTrump really doesnt like or respect any politicians. .I respect him even more for that. #SemST,FAVOR,TARGET,POSITIVE,Favor
20138,Donald Trump,"hey y'all giving a big old s/o to donald trump, we settled our differences and are butt tight now #SemST",FAVOR,TARGET,POSITIVE,Favor
20142,Donald Trump,Trump believes in traditional marriage so strongly that he's been traditionally married 3x. He should teach a class or something. #SemST,AGAINST,TARGET,NEGATIVE,Against
20143,Donald Trump,@realDonaldTrump we need a president who cannot be bought. #SemST,FAVOR,TARGET,POSITIVE,Favor
20146,Donald Trump,I admire how real and unapologetic Donald Trump is on his Political standpoints #SemST,FAVOR,TARGET,POSITIVE,Favor
20149,Donald Trump,@realDonaldTrump Probably because @jorgeramosnews had to change it after you published his old one on Instagram #TrumptheChump #SemST,AGAINST,TARGET,NEGATIVE,Against
20150,Donald Trump,"RT @bdckool: .@realDonaldTrump Of you can do for America what you did for your businesses, you will secure my vote. #SemST",FAVOR,TARGET,POSITIVE,Favor
20153,Donald Trump,@realDonaldTrump I feel the train is gaining steam.  #SemST,FAVOR,TARGET,POSITIVE,Favor
20154,Donald Trump,@realDonaldTrump Hell I'm from the UK and I believe @realDonaldTrump would make an amazing WORLD Leader #SemST,FAVOR,TARGET,POSITIVE,Favor
20157,Donald Trump,@realDonaldTrump I recommend @seanhannity as Sec of Defense and @marklevinshow as your new Atty General. #SemST,FAVOR,TARGET,POSITIVE,Favor
20159,Donald Trump,Really respect @realDonaldTrump for giving up #TheApprentice to make way for his #campaign #AmericaNeedsThis #GodBlessedAmerica #SemST,FAVOR,TARGET,POSITIVE,Favor
20166,Donald Trump,.@nbc ends relationship with @realDonaldTrump over his disgusting derogatory remarks. This man ha no place in the White House. #SemST,AGAINST,TARGET,NEGATIVE,Against
20167,Donald Trump,@realDonaldTrump is such an idiot. He's risking way to much for something he'll never get. #SemST,AGAINST,TARGET,NEGATIVE,Against
20168,Donald Trump,"So, Donald gets fired, but reverend Al is still employed. Both are idiots. Makes zero sense, #NBC #SemST",AGAINST,TARGET,NEGATIVE,Against
20169,Donald Trump,"Props to @nbc, they are connected to Telemundo. Even more impressive they dumped Trump after Univision squabble. #DumpTrump #SemST",AGAINST,TARGET,NEGATIVE,Against
20170,Donald Trump,I suddenly find myself liking @nbc a whole lot more than ever before.forPresidentoftheClubofIdiots #SemST,AGAINST,TARGET,POSITIVE,Against
20172,Donald Trump,@politico is there anybody more sue happy than this fool? #trump #lawsuitabuse #SemST,AGAINST,TARGET,NEGATIVE,Against
20174,Donald Trump,@realDonaldTrump he is a real leader and deserves to be President. #SemST,FAVOR,TARGET,POSITIVE,Favor
20175,Donald Trump,Donald Trump:  proof positive that Gigantism is the last stage before extinction. #MissUSA #SemST,AGAINST,TARGET,NEGATIVE,Against
20176,Donald Trump,Kudos to Donald Trump for telling off NBC. The media HATES the GOP'S & will do ANYTHING to destroy them. #NBC #mediaatfault #SemST,FAVOR,TARGET,NEGATIVE,Favor
20177,Donald Trump,"One of the key problems today is that politics is such a disgrace, good people don't go into government. - @realDonaldTrump #SemST",FAVOR,TARGET,NEGATIVE,Favor
20178,Donald Trump,"Really #DonaldTrump, all Mexican people are rapists, but you assume SOME are good people... #IdiotNation #facepalm #SemST",AGAINST,TARGET,NEGATIVE,Against
20179,Donald Trump,"The Left fear Donald Trump, BIG TIME! @realDonaldTrump  #SemST",FAVOR,TARGET,POSITIVE,Favor
20182,Donald Trump,Go back to focusing on brainless beauties... Oh wait you can't cuz you've been fired #NBC #youlose #sorrynotsorry #SemST,AGAINST,TARGET,NEGATIVE,Against
20183,Donald Trump,"Donald Trump gets the boot from #NBC for calling immigrants rapists and murderers. Hey Donnie, where's your wife from again? #SemST",AGAINST,TARGET,NEGATIVE,Against
20184,Donald Trump,Donald Trump needs to stop embarrassing himself. Racist assholes.... #SemST,AGAINST,TARGET,NEGATIVE,Against
20185,Donald Trump,"@MarioLopezExtra @nbc fires Trump, but maintains strong ties with @BWilliams @TheRevAl #LAUGHABLE #JOKE #LIARS #NBC GO #SemST",FAVOR,TARGET,NEGATIVE,Favor
20186,Donald Trump,Hey @MayorGregor thanks for letting a racist bigot build a giant tower with his name on it downtown. Real proud of ya. #SemST,AGAINST,TARGET,NEGATIVE,Against
20188,Donald Trump,"@realDonaldTrump I am sorry Mexico sends people like Dylan Roof, Mitchelle Blair and David Sweat to the USA. #enemywithin #SemST",AGAINST,TARGET,NEGATIVE,Against
20189,Donald Trump,"Donald Trump is in dire need of a crisis communicator. PR folks, please give him your two cents. #SorryNotSorry #SemST",AGAINST,TARGET,NEGATIVE,Against
20190,Donald Trump,Donald Trump is the man lets get this man in the White House!!! #SemST,FAVOR,TARGET,POSITIVE,Favor
20192,Donald Trump,i want donald trump to win the presidency so bad. he cant be bought out like all the others. and he sticks to his convictions #SemST,FAVOR,TARGET,POSITIVE,Favor
20193,Donald Trump,"Holy shit ,the @realDonaldTrump is one looney mother fucker.  He'll never make it to the first debate #sideshow #SemST",AGAINST,TARGET,NEGATIVE,Against
20197,Donald Trump,". @SenatorKitchen @nbc how deeply offensive such comments are not only to Mexican-Americans, but Latino Americans in general. #SemST",AGAINST,TARGET,NEGATIVE,Against
20198,Donald Trump,Mr. @realDonaldTrump   I appreciate you standing your ground as you've done.  I can say I've never felt better about voting. #SemST,FAVOR,TARGET,POSITIVE,Favor
20201,Donald Trump,@realDonaldTrump Really? The perfect definition of ignorance... The perfect example of someone who does not know reality... #SemST,AGAINST,TARGET,NEGATIVE,Against
20204,Donald Trump,He doesn't care & would have to give up TV gigs anyway to run... loves attention & controversy  #SemST,AGAINST,TARGET,NEGATIVE,Against
20209,Donald Trump,@NBCUniversal maybe you could have a reality show trying to find a new host of celebrity apprentice #YoureFired #SemST,AGAINST,TARGET,POSITIVE,Against
20211,Donald Trump,IF Trump could build the WALL it would provide jobs & also B a tourist attraction & pay 4 itself LEGALS arent the ones offended! #SemST,FAVOR,TARGET,NEGATIVE,Favor
20213,Donald Trump,@realDonaldTrump You're FIRED! Now get out of here! Go!    #SemST,AGAINST,TARGET,NEGATIVE,Against
20215,Donald Trump,Donald Trump is gonna end up like Hitler #SemST,AGAINST,TARGET,NEGATIVE,Against
20216,Donald Trump,"@realDonaldTrump just so you know White people have more of a ""Rapist"" title, than Hispanics. #NotBeingRasist #DoResearch  #SemST",AGAINST,TARGET,NEGATIVE,Against
20217,Donald Trump,@ChristieC733  YES DONALD U R 100% CORRECT' as long as u stay the coruse and don't pander to GOP U GOT MY VOTE #SemST,FAVOR,TARGET,POSITIVE,Favor
20219,Donald Trump,America: Isn't it time we ignored Donald Trump? He's not a serious person. @NYPD should revoke his gun permit. #Immigration #NBC #SemST,AGAINST,TARGET,NEGATIVE,Against
20222,Donald Trump,"@realDonaldTrump is not a pilitical puppet. Maybe a piata, but definitely not a puppet. #SemST",AGAINST,TARGET,NEGATIVE,Against
20223,Donald Trump,Donald Trump is Biff in the alternate universe 1985 in Back to the Future 2.   #biff #BackToTheFuture #SemST,AGAINST,TARGET,NEGATIVE,Against
20225,Donald Trump,@kupajo33 @ChrisChristie we don't need him! #SemST,AGAINST,TARGET,NEGATIVE,Against
20228,Donald Trump,"Notice @realDonaldTrump not saying anything on #CarlosSlim . Not so rich or tough now, huh? Yeah, forgot he's #Mexican huh  #SemST",AGAINST,TARGET,NEGATIVE,Against
20231,Donald Trump,"@mdsbarry ILLEGAL ALIENS come to US collect welfare and social security, its time to #MakeAmericaGreatAgain SECURE OUR BORDERS  #SemST",AGAINST,TARGET,NEGATIVE,Against
20232,Donald Trump,If you think it's fine American car companies send jobs to Mexico while we pay for their welfare you must hate @realDonaldTrump   #SemST,AGAINST,TARGET,NEGATIVE,Against
20239,Donald Trump,What's @realDonaldTrump wife's Twitter handle? I need to ask her if his balls are made of brass...I'm certain they are.   #NoHomo #SemST,AGAINST,TARGET,NEGATIVE,Against
20242,Donald Trump,Miss USA host De la Fuente quits pageant and call @realDonaldTrump ignorant and a clown... #SemST,AGAINST,TARGET,NEGATIVE,Against
20244,Donald Trump,Remember that story about a charismatic businessman who will lie to get into power from an obscure position? #Revelation #SemST,AGAINST,TARGET,NEGATIVE,Against
20246,Donald Trump,Cancel your Netflix subscription and donate to @realDonaldTrump's campaign for entertainment #Trump #SemST,AGAINST,TARGET,NEGATIVE,Against
20247,Donald Trump,"Me: ""That asshole with the toupee was talking again and it was stressing me out""  Dad: ""Who?""  Mom: ""Donald Trump #SemST",AGAINST,TARGET,NEGATIVE,Against
20249,Donald Trump,@divadoll123 @LANURSE1 @ShaninZT u can't go back.Only way people r going to wake up is when the free checks stop coming!#TCOT #SemST,AGAINST,TARGET,NEGATIVE,Against
20252,Donald Trump,"Gotta love everyone disliking @realDonaldTrump because he actually makes sense, and may even bring the country back to normal #SemST",AGAINST,TARGET,POSITIVE,Against
20253,Donald Trump,"John O'Donnell, former president of Trump Plaza Hotel & Casino ... @realDonaldTrump said ""laziness is a trait in blacks. #SemST",AGAINST,TARGET,NEGATIVE,Against
20255,Donald Trump,"There is still more to be done to make this country strong, powerful and great again. #TrumpCarson2016 #SemST",AGAINST,TARGET,POSITIVE,Against
20257,Donald Trump,"The #Obama Presidency: Has There Ever a Point in Time When He HASN'T Been Lying to #WeThePeople? RE: The ""Liar-in-Chief #SemST",AGAINST,TARGET,NEGATIVE,Against
20258,Donald Trump,I just cancelled my reservation at the Trump hotel in Las Vegas.  I hope like minded people intolerant of bigots do the same #SemST,AGAINST,TARGET,NEGATIVE,Against
20259,Donald Trump,Why are free market conservatives behind a multiple bankruptcy candidate who wears makeup. Gives us real conservatives a bad name #SemST,AGAINST,TARGET,NEGATIVE,Against
20261,Donald Trump,@realDonaldTrump I know you are the best candidate. You are the only one who can #MakeAmericaGreatAgain #RestoreOurRepublic #SemST,AGAINST,TARGET,POSITIVE,Against
20264,Donald Trump,"RT @BlissTabitha ""Never quite works out that way huh?  #GlobalWarming HOAX #MediaMalpractice #SemST",AGAINST,TARGET,NEGATIVE,Against
20265,Donald Trump,Left-wing media trying to silence @realDonaldTrump? HAHAHA  Keep trying! Trump is NOT a career politician & he won't be bought!  #SemST,AGAINST,TARGET,POSITIVE,Against
20267,Donald Trump,Macy's to stop selling Trump merch. I guess he'll sue them next. #SemST,AGAINST,TARGET,NEGATIVE,Against
20268,Donald Trump,Only good thing about Trump's presidential run is that by the end of it he will be a billion or 2 short #SemST,AGAINST,TARGET,NEGATIVE,Against
20269,Donald Trump,I love how everyone thinks canceling @realDonaldTrump's ventures will do anything but hurt themselves. This man has my vote! #SemST,AGAINST,TARGET,POSITIVE,Against
20270,Donald Trump,Comments by @realDonaldTrump were hateful & disgusting. Everyone should sever their ties with him. Thanks @Macys @Univision @nbc #SemST,AGAINST,TARGET,NEGATIVE,Against
20272,Donald Trump,@gbennettpost @jamiedupree No  #asstards!  America is dumping you! Trump's gonna put your dicks in the dirt! #SemST,AGAINST,TARGET,NEGATIVE,Against
20273,Donald Trump,@Lrihendry your just as ignorant as #SemST,AGAINST,TARGET,NEGATIVE,Against
20279,Donald Trump,"@realDonaldTrump U gonna take this? I hope not! Bullshit from #Univision #NBCUniversal and #Macys. ""Magic of Macy's"" my ass #SemST",AGAINST,TARGET,NEGATIVE,Against
20280,Donald Trump,"We get all the bad #Mexicans...minus the ones whose labor built your empire, of course. #TrumpedFacts #Delusional #GTFOH #SemST",AGAINST,TARGET,NEGATIVE,Against
20283,Donald Trump,DID YOU KNOW that the U.S Constitution is now under full pledge attack by the Obama tyrant administration? #WethePeople #SemST,AGAINST,TARGET,NEGATIVE,Against
20284,Donald Trump,The more I read how NBC and Macy's are cutting ties with @realDonaldTrump the more I'm convinced he should be president.  #SemST,AGAINST,TARGET,POSITIVE,Against
20285,Donald Trump,"Following his recent comments about immigrants, do you think Donald Trump's business interests will suffer? #Trump #SemST",AGAINST,TARGET,NEGATIVE,Against
20286,Donald Trump,@TPM @realDonaldTrump this is what happens when you open your big mouth. You're out of luck for 2016 at this rate. #Univision #SemST,AGAINST,TARGET,NEGATIVE,Against
20289,Donald Trump,And this dude wants to be potus #FOH #SemST,AGAINST,TARGET,NEGATIVE,Against
20290,Donald Trump,I hope every Billionaire learned their lesson bout talking sh%t about Mexicans!  Do it in your golf clubs NOT on TV! #SemST,AGAINST,TARGET,NEGATIVE,Against
20291,Donald Trump,@realDonaldTrump Canada supports you! Please stop the ILLEGALS at your boarder before they get to ours. #SemST,AGAINST,TARGET,POSITIVE,Against
20294,Donald Trump,@hamltonb026 that's the last thing I'm doing. I'm suggesting that liberals are the reason it is the issue it is today #SemST,AGAINST,TARGET,NEGATIVE,Against
20295,Donald Trump,#ProgressiveCommandment:Criminals need short sentences & cushy jails in order to rehabilitate them!#tcot @ericbolling #Greta #SemST,AGAINST,TARGET,NEGATIVE,Against
20297,Donald Trump,It's truly amazing just how many people Donald Trump is making complete & utter fools of. Gotta love it :) #MurderersAndRapists #SemST,AGAINST,TARGET,POSITIVE,Against
20303,Donald Trump,#FELLOW TEXANS WHO SHOP FIRE @MACY'S AND SHOP #DILLARD'S! #SemST,AGAINST,TARGET,NEGATIVE,Against
20305,Donald Trump,"Well, someone's doing the raping. I get combed and gooped up so much, Donald's the one doing the raping. He never understands. #SemST",AGAINST,TARGET,NEGATIVE,Against
20309,Donald Trump,I'm voting for Donald Trump ! #SemST,AGAINST,TARGET,POSITIVE,Against
20312,Donald Trump,"Spine, I would like for you to meet the Republican Party.  #SemST",AGAINST,TARGET,NEGATIVE,Against
20315,Donald Trump,@CNNPolitics @Eugene_Scott  Careful Donald. Don't get carried away. #SemST,AGAINST,TARGET,NEGATIVE,Against
20318,Donald Trump,delusional - adjective  1. having false or unrealistic beliefs or opinions 2. Donald Trump  #presidentialelection2016 #SemST,AGAINST,TARGET,NEGATIVE,Against
20319,Donald Trump,ENOUGH. 4FAR 2LONG  2% of pop. has dictated 2the 98% due 2fear by PCpolice/afraid 2b called a bigot/racist. NO MORE!  #ccot #SemST,AGAINST,TARGET,NEGATIVE,Against
20321,Donald Trump,@Macys not selling Trump because he voices his opinion.. What happy to freedom of speech.. I'll never shop at @Macys again.. #SemST,AGAINST,TARGET,NEGATIVE,Against
20324,Donald Trump,If @Macys wants to try to stall this country's progress that's their prerogative but I'm done shopping there #BadBusiness #SemST,AGAINST,TARGET,NEGATIVE,Against
20332,Donald Trump,@loudobbsnews Don't you just love that truth is now called controversial comments?!  Has this country fallen that low?! #SemST,AGAINST,TARGET,NEGATIVE,Against
20334,Donald Trump,@realDonaldTrump @LadyPatriot777 @Macys lousy merchandise made in China !!!!!!!  #SemST,AGAINST,TARGET,NEGATIVE,Against
20336,Donald Trump,Everything Donald Trump said was 100% true though. #SemST,FAVOR,TARGET,POSITIVE,Favor
20338,Donald Trump,Conflict is a vehicle for change!  Ask @realDonaldTrump Trump becoming a front runner. #USA #leadership #SemST,FAVOR,TARGET,POSITIVE,Favor
20340,Donald Trump,@realDonaldTrump @PamplinFilmCo We needs some Ballz back in the WH.. #SemST,FAVOR,TARGET,POSITIVE,Favor
20341,Donald Trump,@realDonaldTrump Its admirable how you're willing to lose sponsors for the greater good. We've longed for voice like yours! #SemST,FAVOR,TARGET,NEGATIVE,Favor
20342,Donald Trump,@realDonaldTrump you're not playing to win this = #SemST,AGAINST,TARGET,NEGATIVE,Against
20343,Donald Trump,"TY Michael @ASavageNation ""I'd do anything to help him; he's right, he's telling the truth"" @realDonaldTrump #BoycottMacys  #SemST",FAVOR,TARGET,POSITIVE,Favor
20345,Donald Trump,Stop thinking you can walk around talking reckless in the end it will bite you in the ass #Dontjudgeme #SemST,AGAINST,TARGET,NEGATIVE,Against
20346,Donald Trump,I'm voting for Donald Trump this election #waitonit #SemST,FAVOR,TARGET,POSITIVE,Favor
20347,Donald Trump,Clearly @realDonaldTrump has very good finance people because his shocking racist comments proves he not an intelligent human! #SemST,AGAINST,TARGET,NEGATIVE,Against
20348,Donald Trump,@realDonaldTrump fuck you racist ass bitch. Go fuck yourself #SemST,AGAINST,TARGET,NEGATIVE,Against
20349,Donald Trump,@thehill @greta @realDonaldTrump Now You Know The Left Is Afraid Of A Executive Over Politicians < Hang In There Donald #SemST,FAVOR,TARGET,POSITIVE,Favor
20350,Donald Trump,GOP candidate predictions? America decides to play the Trump card and go with the man with the plan. #SemST,FAVOR,TARGET,POSITIVE,Favor
20351,Donald Trump,"What does Ivana, NBC, Univision, Gemini's, and Macy's have in common?  Answer: They all dropped #SemST",AGAINST,TARGET,NEGATIVE,Against
20353,Donald Trump,"If there was such a thing as the ""American"" Hitler. Donald Trump would probably be that guy. #nationalism #SemST",AGAINST,TARGET,NEGATIVE,Against
20354,Donald Trump,"#PrezTrump had a great week, he's the BIG news story, mission accomplished. #tcot #TeaParty #SemST",FAVOR,TARGET,POSITIVE,Favor
20355,Donald Trump,"The way @realDonaldTrump is taking flak, he must be over the target. #SemST",AGAINST,TARGET,POSITIVE,Against
20359,Donald Trump,"This country needs a President to take control, cut through the BS, and speak the truth! #truthhurts @realDonaldTrump #SemST",FAVOR,TARGET,POSITIVE,Favor
20360,Donald Trump,"Anyone who is against @realDonaldTrump 4 president, has no clue of his success and the potential of greatness he can do 4 us. #SemST",FAVOR,TARGET,POSITIVE,Favor
20361,Donald Trump,"@business  ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #OhHillNo #StopHillary2016 #SemST",AGAINST,TARGET,NEGATIVE,Against
20362,Donald Trump,"Looking at presidential candidates, there is only one candidate, who can stand tall, and is all heads and shoulders. #Trump  #SemST",FAVOR,TARGET,POSITIVE,Favor
20363,Donald Trump,@realDonaldTrump had a point and one the liberal media won't dare come close to! We have a fragile and wide open border!  #SemST,FAVOR,TARGET,POSITIVE,Favor
20364,Donald Trump,@realDonaldTrump first time voting and I'm definitely voting for Trump #SemST,FAVOR,TARGET,POSITIVE,Favor
20366,Donald Trump,"@realDonaldTrump people are scared to hear the truth and that's why they fear you. If you don't tell it like it is, no one will. #SemST",FAVOR,TARGET,POSITIVE,Favor
20368,Donald Trump,GRATE TWO SEE @realDonaldTrump GET TUFF ON BOARDER CONTROL!  HAS MY VOTE IN 2016!  #TCOT #ILLEGALSSTOLEJOBS #SemST,FAVOR,TARGET,POSITIVE,Favor
20370,Donald Trump,Wondering who is going to make your suites now. @realDonaldTrump  Maybe the rapist and killers you speak about will. #SemST,AGAINST,TARGET,NEGATIVE,Against
20371,Donald Trump,@realDonaldTrump Any more campaign stops in Chicago anytime soon? Good luck! #SemST,FAVOR,TARGET,POSITIVE,Favor
20372,Donald Trump,@GreggJarrett @FoxNews @GeekGirl2u @realDonaldTrump will do fine with legal Latino voters. #MakeAmericaGreatAgain #SemST,FAVOR,TARGET,POSITIVE,Favor
20376,Donald Trump,Trump wasn't precise but he's no bigot. employs thousands. contributed millions to charity. And loves America.not corrupt.capable #SemST,FAVOR,TARGET,POSITIVE,Favor
20377,Donald Trump,@GOP it's time you recognize @realDonaldTrump . This movement is real. #MakeAmericaGreatAgain #SemST,FAVOR,TARGET,POSITIVE,Favor
20382,Donald Trump,@realDonaldTrump Favorites and retweets keep piling up for Trump! He's killing the other candidates! #SemST,FAVOR,TARGET,POSITIVE,Favor
20383,Donald Trump,#NothingMoreAmericanThan complaining about Mexicans when you've been marketing off their labor. #SemST,AGAINST,TARGET,NEGATIVE,Against
20384,Donald Trump,"Le(a)nin left RT @uss_victory: @realDonaldTrump /#LongLiveLiberty; Better is a ""#Capitalist"" for President than a #Communist. #SemST",FAVOR,TARGET,NEGATIVE,Favor
20387,Donald Trump,Thanks to @realDonaldTrump our Hispanic community finally has woken up from the dead! #GovernmentAndPolitics #WhiteHouse #SemST,AGAINST,TARGET,POSITIVE,Against
20388,Donald Trump,Important part of platform.  Make it illegal to talk during #TrueDetective  #GOP #Election2016 #SemST,AGAINST,TARGET,NEGATIVE,Against
20389,Donald Trump,I nominate Donald Trump for the new ambassador to Mexico. #Mexico #Tacos #SemST,AGAINST,TARGET,NEGATIVE,Against
20390,Donald Trump,"The only reason people have a problem with @realDonaldTrump is because he speaks the truth, which offends the soft Americans. #SemST",AGAINST,TARGET,POSITIVE,Against
20392,Donald Trump,Donald Trump is so crazy I'm scared if I was hanging with him he would think it would be okay to sell me back to slavery! #SemST,AGAINST,TARGET,NEGATIVE,Against
20397,Donald Trump,"@seanhannity @BobbyJindal He would be great Vp for Trump.. 2 of  kind,#MakeAmericaGreatAgain , #SemST",AGAINST,TARGET,POSITIVE,Against
20400,Donald Trump,@marcorubio .  Adios for your comments about @realDonaldTrump .. You are a disappointment. #SemST,AGAINST,TARGET,NEGATIVE,Against
20404,Donald Trump,The clothing #Macys (made in Mexico&China) #NBC (Traders! #Sodomites!) #Univision (will pay!) #RollOn!!! @realDonaldTrump #wiyh #SemST,AGAINST,TARGET,NEGATIVE,Against
20405,Donald Trump,"#DanaPerino is getting more snitful by the minute. Says Trump isn't believable, can't win. Hide&watch! #MakeAmericaGreatAgain #SemST",AGAINST,TARGET,NEGATIVE,Against
20411,Donald Trump,If Donald Trump is elected president I'm moving to Nunavut to get away from these retards #Trump #SemST,AGAINST,TARGET,NEGATIVE,Against
20412,Donald Trump,"@JonathanHoenig @ericbolling Errant Vanity says up 2 USA about fighting ISIS, ? is choosing when/where ISIS decided we will #SemST",AGAINST,TARGET,NEGATIVE,Against
20413,Donald Trump,@realDonaldTrump let the haters run away. You can now see who  you're true supporters are. #SemST,AGAINST,TARGET,POSITIVE,Against
20416,Donald Trump,@tommyhubb @JonathanHoenig Obama sees everything through an anti-Colonial prism.Every move he makes degrades our nation.#Cashinin #SemST,AGAINST,TARGET,NEGATIVE,Against
20418,Donald Trump,"@ProfessorF @JessicaTarlov And deluded shows and ""news"" reporters are not?!  #SemST",AGAINST,TARGET,NEGATIVE,Against
20419,Donald Trump,"Donald trump is way better than ANY candidate out there. Because he's real, not a lobbyist backed puppet #Election2016 #SemST",AGAINST,TARGET,POSITIVE,Against
20421,Donald Trump,"@realDonaldTrump has formed the ""Racistublicans"". The political party for old fat assholes. #Racistublicans  #Republicans  #SemST",AGAINST,TARGET,NEGATIVE,Against
20424,Donald Trump,@HnstyNgov @FoxBusiness @realDonaldTrump Meanwhile no Democrat running has given anyone anywhere a job. Other Repubs just as bad. #SemST,AGAINST,TARGET,NEGATIVE,Against
20425,Donald Trump,"@UPROXX good,, trumps speaking of illrgal immigrants,,, its her loss #SemST",AGAINST,TARGET,NEITHER,Against
20426,Donald Trump,NASCAR abandons Trump. Some good news to end my day with   #Trump #SemST,AGAINST,TARGET,NEGATIVE,Against
