id,text,annotation,prompt_id,prompt,original
0,Congratulations to Sergeant Major Thomas Payne on receiving the Medal of Honor today for his heroism during a 2015 prisoner rescue in Iraq. He's the first recipient of the award in the fight against ISIS. We're proud of and thankful for his service.,1,1,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
1,I’m extremely grateful the @SenateVA included my bill in to expand Fry Scholarships to spouses &amp; children of members of the National Guard and Reserves who died in the line of duty but whose deaths did not occur when the member was on active duty.,1,1,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
2,"While Democrats claim to be the modern-day champions of combating climate change, they also seem to be banking on perpetual sunshine and steady breezes to power their grid.

This unrealistic, politically driven approach irresponsibly puts families and communities at risk.",1,1,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
3,"We must come together to take action now, before we lose any more time to save lives and prevent costly mistakes.",1,1,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
4,"In our nation’s capital, mass protests are allowed, but church gatherings over 100 people are not. I joined @SenatorWicker legal brief arguing DC’s discrimination against houses of worship violates the 1st Amendment #ReligiousFreedom rights of @chbcdc worshipers.",1,1,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
5,"If qualifications are the only thing that matter, President Trump wouldn’t have vowed to only pick justices who would “terminate” our health care law.

Democrats will not stop fighting for Americans’ health care.",1,1,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
6,"Hey @brianschatz @CoryBooker @JeffMerkley it’s showtime. 

Let’s pick a race today where we get a big bang for the buck. Pivotal for Senate control and Electoral College. 

Also find a place where our $ can counteract McConnell’s dark money. 

And let’s set a big goal. 

Ready?",1,1,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
7,"My prayers and my deepest sympathies are with those who have lost loved ones, and those who are living with the long-term health repercussions of the virus.
 
It didn’t have to be this way.",0,1,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
8,News stories with unnamed sources and leaked information about @realDonaldTrump are allowed and amplified by Twitter and Facebook. #TwitterCensorship,1,1,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
9,"#SaveOurSeas 2.0 will improve our nation's ability to respond to #marinedebris events, lead to greater international cooperation on preventing trash from reaching the oceans, and spark innovation to manage and possibly even reuse plastic waste.",1,1,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
0,Congratulations to Sergeant Major Thomas Payne on receiving the Medal of Honor today for his heroism during a 2015 prisoner rescue in Iraq. He's the first recipient of the award in the fight against ISIS. We're proud of and thankful for his service.,1,2,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democrats. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
1,I’m extremely grateful the @SenateVA included my bill in to expand Fry Scholarships to spouses &amp; children of members of the National Guard and Reserves who died in the line of duty but whose deaths did not occur when the member was on active duty.,1,2,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democrats. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
2,"While Democrats claim to be the modern-day champions of combating climate change, they also seem to be banking on perpetual sunshine and steady breezes to power their grid.

This unrealistic, politically driven approach irresponsibly puts families and communities at risk.",1,2,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democrats. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
3,"We must come together to take action now, before we lose any more time to save lives and prevent costly mistakes.",0,2,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democrats. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
4,"In our nation’s capital, mass protests are allowed, but church gatherings over 100 people are not. I joined @SenatorWicker legal brief arguing DC’s discrimination against houses of worship violates the 1st Amendment #ReligiousFreedom rights of @chbcdc worshipers.",1,2,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democrats. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
5,"If qualifications are the only thing that matter, President Trump wouldn’t have vowed to only pick justices who would “terminate” our health care law.

Democrats will not stop fighting for Americans’ health care.",0,2,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democrats. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
6,"Hey @brianschatz @CoryBooker @JeffMerkley it’s showtime. 

Let’s pick a race today where we get a big bang for the buck. Pivotal for Senate control and Electoral College. 

Also find a place where our $ can counteract McConnell’s dark money. 

And let’s set a big goal. 

Ready?",1,2,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democrats. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
7,"My prayers and my deepest sympathies are with those who have lost loved ones, and those who are living with the long-term health repercussions of the virus.
 
It didn’t have to be this way.",0,2,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democrats. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
8,News stories with unnamed sources and leaked information about @realDonaldTrump are allowed and amplified by Twitter and Facebook. #TwitterCensorship,1,2,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democrats. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
9,"#SaveOurSeas 2.0 will improve our nation's ability to respond to #marinedebris events, lead to greater international cooperation on preventing trash from reaching the oceans, and spark innovation to manage and possibly even reuse plastic waste.",0,2,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democrats. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
0,Congratulations to Sergeant Major Thomas Payne on receiving the Medal of Honor today for his heroism during a 2015 prisoner rescue in Iraq. He's the first recipient of the award in the fight against ISIS. We're proud of and thankful for his service.,1,3,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
1,I’m extremely grateful the @SenateVA included my bill in to expand Fry Scholarships to spouses &amp; children of members of the National Guard and Reserves who died in the line of duty but whose deaths did not occur when the member was on active duty.,1,3,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
2,"While Democrats claim to be the modern-day champions of combating climate change, they also seem to be banking on perpetual sunshine and steady breezes to power their grid.

This unrealistic, politically driven approach irresponsibly puts families and communities at risk.",1,3,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
3,"We must come together to take action now, before we lose any more time to save lives and prevent costly mistakes.",1,3,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
4,"In our nation’s capital, mass protests are allowed, but church gatherings over 100 people are not. I joined @SenatorWicker legal brief arguing DC’s discrimination against houses of worship violates the 1st Amendment #ReligiousFreedom rights of @chbcdc worshipers.",1,3,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
5,"If qualifications are the only thing that matter, President Trump wouldn’t have vowed to only pick justices who would “terminate” our health care law.

Democrats will not stop fighting for Americans’ health care.",1,3,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
6,"Hey @brianschatz @CoryBooker @JeffMerkley it’s showtime. 

Let’s pick a race today where we get a big bang for the buck. Pivotal for Senate control and Electoral College. 

Also find a place where our $ can counteract McConnell’s dark money. 

And let’s set a big goal. 

Ready?",1,3,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
7,"My prayers and my deepest sympathies are with those who have lost loved ones, and those who are living with the long-term health repercussions of the virus.
 
It didn’t have to be this way.",1,3,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
8,News stories with unnamed sources and leaked information about @realDonaldTrump are allowed and amplified by Twitter and Facebook. #TwitterCensorship,1,3,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
9,"#SaveOurSeas 2.0 will improve our nation's ability to respond to #marinedebris events, lead to greater international cooperation on preventing trash from reaching the oceans, and spark innovation to manage and possibly even reuse plastic waste.",1,3,"You have to try and guess if the originator is Republican either before the 2020 contest or in the lead up to it [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
0,Congratulations to Sergeant Major Thomas Payne on receiving the Medal of Honor today for his heroism during a 2015 prisoner rescue in Iraq. He's the first recipient of the award in the fight against ISIS. We're proud of and thankful for his service.,1,4,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the Election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
1,I’m extremely grateful the @SenateVA included my bill in to expand Fry Scholarships to spouses &amp; children of members of the National Guard and Reserves who died in the line of duty but whose deaths did not occur when the member was on active duty.,1,4,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the Election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
2,"While Democrats claim to be the modern-day champions of combating climate change, they also seem to be banking on perpetual sunshine and steady breezes to power their grid.

This unrealistic, politically driven approach irresponsibly puts families and communities at risk.",1,4,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the Election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
3,"We must come together to take action now, before we lose any more time to save lives and prevent costly mistakes.",0,4,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the Election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
4,"In our nation’s capital, mass protests are allowed, but church gatherings over 100 people are not. I joined @SenatorWicker legal brief arguing DC’s discrimination against houses of worship violates the 1st Amendment #ReligiousFreedom rights of @chbcdc worshipers.",1,4,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the Election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
5,"If qualifications are the only thing that matter, President Trump wouldn’t have vowed to only pick justices who would “terminate” our health care law.

Democrats will not stop fighting for Americans’ health care.",0,4,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the Election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
6,"Hey @brianschatz @CoryBooker @JeffMerkley it’s showtime. 

Let’s pick a race today where we get a big bang for the buck. Pivotal for Senate control and Electoral College. 

Also find a place where our $ can counteract McConnell’s dark money. 

And let’s set a big goal. 

Ready?",0,4,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the Election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
7,"My prayers and my deepest sympathies are with those who have lost loved ones, and those who are living with the long-term health repercussions of the virus.
 
It didn’t have to be this way.",0,4,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the Election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
8,News stories with unnamed sources and leaked information about @realDonaldTrump are allowed and amplified by Twitter and Facebook. #TwitterCensorship,1,4,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the Election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
9,"#SaveOurSeas 2.0 will improve our nation's ability to respond to #marinedebris events, lead to greater international cooperation on preventing trash from reaching the oceans, and spark innovation to manage and possibly even reuse plastic waste.",0,4,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the Election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
0,Congratulations to Sergeant Major Thomas Payne on receiving the Medal of Honor today for his heroism during a 2015 prisoner rescue in Iraq. He's the first recipient of the award in the fight against ISIS. We're proud of and thankful for his service.,1,5,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the 2020 president election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
1,I’m extremely grateful the @SenateVA included my bill in to expand Fry Scholarships to spouses &amp; children of members of the National Guard and Reserves who died in the line of duty but whose deaths did not occur when the member was on active duty.,1,5,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the 2020 president election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
2,"While Democrats claim to be the modern-day champions of combating climate change, they also seem to be banking on perpetual sunshine and steady breezes to power their grid.

This unrealistic, politically driven approach irresponsibly puts families and communities at risk.",1,5,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the 2020 president election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
3,"We must come together to take action now, before we lose any more time to save lives and prevent costly mistakes.",0,5,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the 2020 president election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
4,"In our nation’s capital, mass protests are allowed, but church gatherings over 100 people are not. I joined @SenatorWicker legal brief arguing DC’s discrimination against houses of worship violates the 1st Amendment #ReligiousFreedom rights of @chbcdc worshipers.",1,5,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the 2020 president election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
5,"If qualifications are the only thing that matter, President Trump wouldn’t have vowed to only pick justices who would “terminate” our health care law.

Democrats will not stop fighting for Americans’ health care.",0,5,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the 2020 president election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
6,"Hey @brianschatz @CoryBooker @JeffMerkley it’s showtime. 

Let’s pick a race today where we get a big bang for the buck. Pivotal for Senate control and Electoral College. 

Also find a place where our $ can counteract McConnell’s dark money. 

And let’s set a big goal. 

Ready?",1,5,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the 2020 president election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
7,"My prayers and my deepest sympathies are with those who have lost loved ones, and those who are living with the long-term health repercussions of the virus.
 
It didn’t have to be this way.",0,5,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the 2020 president election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
8,News stories with unnamed sources and leaked information about @realDonaldTrump are allowed and amplified by Twitter and Facebook. #TwitterCensorship,1,5,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the 2020 president election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
9,"#SaveOurSeas 2.0 will improve our nation's ability to respond to #marinedebris events, lead to greater international cooperation on preventing trash from reaching the oceans, and spark innovation to manage and possibly even reuse plastic waste.",0,5,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the 2020 president election. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
0,Congratulations to Sergeant Major Thomas Payne on receiving the Medal of Honor today for his heroism during a 2015 prisoner rescue in Iraq. He's the first recipient of the award in the fight against ISIS. We're proud of and thankful for his service.,1,6,"You have to use your knowledge of the subject to guessed the author's true gender, Republican orDemocrat. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
1,I’m extremely grateful the @SenateVA included my bill in to expand Fry Scholarships to spouses &amp; children of members of the National Guard and Reserves who died in the line of duty but whose deaths did not occur when the member was on active duty.,1,6,"You have to use your knowledge of the subject to guessed the author's true gender, Republican orDemocrat. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
2,"While Democrats claim to be the modern-day champions of combating climate change, they also seem to be banking on perpetual sunshine and steady breezes to power their grid.

This unrealistic, politically driven approach irresponsibly puts families and communities at risk.",1,6,"You have to use your knowledge of the subject to guessed the author's true gender, Republican orDemocrat. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
3,"We must come together to take action now, before we lose any more time to save lives and prevent costly mistakes.",0,6,"You have to use your knowledge of the subject to guessed the author's true gender, Republican orDemocrat. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
4,"In our nation’s capital, mass protests are allowed, but church gatherings over 100 people are not. I joined @SenatorWicker legal brief arguing DC’s discrimination against houses of worship violates the 1st Amendment #ReligiousFreedom rights of @chbcdc worshipers.",1,6,"You have to use your knowledge of the subject to guessed the author's true gender, Republican orDemocrat. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
5,"If qualifications are the only thing that matter, President Trump wouldn’t have vowed to only pick justices who would “terminate” our health care law.

Democrats will not stop fighting for Americans’ health care.",0,6,"You have to use your knowledge of the subject to guessed the author's true gender, Republican orDemocrat. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
6,"Hey @brianschatz @CoryBooker @JeffMerkley it’s showtime. 

Let’s pick a race today where we get a big bang for the buck. Pivotal for Senate control and Electoral College. 

Also find a place where our $ can counteract McConnell’s dark money. 

And let’s set a big goal. 

Ready?",0,6,"You have to use your knowledge of the subject to guessed the author's true gender, Republican orDemocrat. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
7,"My prayers and my deepest sympathies are with those who have lost loved ones, and those who are living with the long-term health repercussions of the virus.
 
It didn’t have to be this way.",0,6,"You have to use your knowledge of the subject to guessed the author's true gender, Republican orDemocrat. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
8,News stories with unnamed sources and leaked information about @realDonaldTrump are allowed and amplified by Twitter and Facebook. #TwitterCensorship,1,6,"You have to use your knowledge of the subject to guessed the author's true gender, Republican orDemocrat. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
9,"#SaveOurSeas 2.0 will improve our nation's ability to respond to #marinedebris events, lead to greater international cooperation on preventing trash from reaching the oceans, and spark innovation to manage and possibly even reuse plastic waste.",0,6,"You have to use your knowledge of the subject to guessed the author's true gender, Republican orDemocrat. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
0,Congratulations to Sergeant Major Thomas Payne on receiving the Medal of Honor today for his heroism during a 2015 prisoner rescue in Iraq. He's the first recipient of the award in the fight against ISIS. We're proud of and thankful for his service.,1,7,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the next elections. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
1,I’m extremely grateful the @SenateVA included my bill in to expand Fry Scholarships to spouses &amp; children of members of the National Guard and Reserves who died in the line of duty but whose deaths did not occur when the member was on active duty.,1,7,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the next elections. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
2,"While Democrats claim to be the modern-day champions of combating climate change, they also seem to be banking on perpetual sunshine and steady breezes to power their grid.

This unrealistic, politically driven approach irresponsibly puts families and communities at risk.",1,7,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the next elections. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
3,"We must come together to take action now, before we lose any more time to save lives and prevent costly mistakes.",0,7,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the next elections. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
4,"In our nation’s capital, mass protests are allowed, but church gatherings over 100 people are not. I joined @SenatorWicker legal brief arguing DC’s discrimination against houses of worship violates the 1st Amendment #ReligiousFreedom rights of @chbcdc worshipers.",1,7,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the next elections. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
5,"If qualifications are the only thing that matter, President Trump wouldn’t have vowed to only pick justices who would “terminate” our health care law.

Democrats will not stop fighting for Americans’ health care.",0,7,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the next elections. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
6,"Hey @brianschatz @CoryBooker @JeffMerkley it’s showtime. 

Let’s pick a race today where we get a big bang for the buck. Pivotal for Senate control and Electoral College. 

Also find a place where our $ can counteract McConnell’s dark money. 

And let’s set a big goal. 

Ready?",1,7,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the next elections. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
7,"My prayers and my deepest sympathies are with those who have lost loved ones, and those who are living with the long-term health repercussions of the virus.
 
It didn’t have to be this way.",0,7,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the next elections. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
8,News stories with unnamed sources and leaked information about @realDonaldTrump are allowed and amplified by Twitter and Facebook. #TwitterCensorship,1,7,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the next elections. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
9,"#SaveOurSeas 2.0 will improve our nation's ability to respond to #marinedebris events, lead to greater international cooperation on preventing trash from reaching the oceans, and spark innovation to manage and possibly even reuse plastic waste.",0,7,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the next elections. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
0,Congratulations to Sergeant Major Thomas Payne on receiving the Medal of Honor today for his heroism during a 2015 prisoner rescue in Iraq. He's the first recipient of the award in the fight against ISIS. We're proud of and thankful for his service.,1,8,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the 2020. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
1,I’m extremely grateful the @SenateVA included my bill in to expand Fry Scholarships to spouses &amp; children of members of the National Guard and Reserves who died in the line of duty but whose deaths did not occur when the member was on active duty.,1,8,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the 2020. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
2,"While Democrats claim to be the modern-day champions of combating climate change, they also seem to be banking on perpetual sunshine and steady breezes to power their grid.

This unrealistic, politically driven approach irresponsibly puts families and communities at risk.",1,8,"You have to use your knowledge of the subject to guessed the author's true gender, whether the message is Republican or Democratic before the 2020. [Respond 0 for Democrat, or 1 for Republican. Guess if you do not know. Respond nothing else.]",False
